Date,Days_0
2018-11-07,0.011835875854813159
2005-08-02,0.0018181818181817187
2005-02-18,0.0010330578512396382
2012-10-03,0.0059347181008904135
2007-02-28,0.01428236946850858
2010-02-26,0.000315756236185516
2017-12-08,0.011158594491927907
2005-04-20,-0.010357045516489416
2015-06-02,0.00657142857142845
2003-10-24,-0.0019411193788417824
2011-06-27,0.004766768811712564
2014-10-15,-0.01378340365682118
2011-08-17,0.004742794600510747
2004-04-15,-0.010334346504559113
2004-05-04,0.018380062305295874
2009-09-25,-0.009185548071034777
2011-08-04,-0.050451052455730006
2016-04-08,0.01182654402102501
2005-06-23,0.00026483050847470047
2013-07-02,-0.0031214528944381037
2005-08-12,-0.0025793139025019896
2007-08-23,-0.006642382686950943
2003-08-04,0.02650787552823664
2018-12-11,-0.0035364526659411592
2012-05-31,0.009603841536614643
2007-10-04,0.02325581395348819
2013-07-11,0.0182724252491695
2011-05-25,0.007479674796748048
2015-02-24,0.008158142453718266
2009-09-02,-0.005998000666444625
2003-09-05,-0.0032131381649410646
2010-06-03,-0.00436840189297405
2014-01-17,0.00451048023348366
2011-09-27,0.022793203481143776
2015-03-25,0.0050971647021345046
2010-07-14,0.0017464198393293273
2019-06-24,-0.000773195876288546
2015-08-25,0.02130632203981841
2008-01-24,0.0057774428535544145
2012-01-31,0.008911274699728855
2007-03-01,-0.008079409048938113
2002-07-17,0.033318325078793176
2015-05-12,-0.012283640424343932
2004-02-04,-0.006270528515974982
2013-06-25,0.026875369167159047
2017-11-06,-0.0016782546152002142
2007-02-21,-0.002933212996389933
2010-11-05,-0.0240356083086054
2018-05-31,-0.0055478502080442684
2003-04-14,0.004897595725734671
2004-08-04,0.003247711839385881
2013-08-01,0.00975995779477712
2004-08-24,0.008519388954171479
2002-10-25,0.007433318758198527
2002-08-19,0.017736486486486625
2007-08-10,-0.012467755803955429
2004-10-27,-0.0010964912280702066
2013-11-08,0.011968085106382809
2015-04-06,0.008576874205844964
2004-11-09,-0.00234131113423508
2010-03-02,0.013440860215053752
2003-04-30,-0.0008613264427217437
2013-03-07,0.002560455192034184
2011-01-25,-0.006915213469633086
2016-11-25,-0.0021518598217030727
2019-05-08,-0.007203179334326904
2004-05-19,0.014767255216693531
2007-06-27,0.006831767719897464
2008-04-21,-0.0050907481186365225
2015-04-09,0.017851550266207328
2011-04-05,0.0053729456384323795
2002-05-02,0.006958657388456802
2003-07-17,-0.01008925106713221
2007-11-30,0.02161913523459069
2010-05-06,-0.054899235580264105
2003-09-25,0.0013778849466068446
2012-02-17,0.0088432967810399
2019-02-06,-0.005711318795431075
2018-08-29,0.004210004952946767
2008-12-11,-0.01197798640336678
2008-08-26,0.0014319809069212044
2009-10-09,0.0030525030525030412
2015-12-29,0.006287227001985586
2003-12-24,0.0038212815990592564
2010-05-14,-0.025097207493814052
2017-09-20,-0.0052306229196386065
2005-10-14,0.006226312939902723
2013-10-22,0.007737459978655492
2017-12-26,-0.0026923939869867297
2009-05-06,0.06321575813101242
2004-10-15,0.008876560332871097
2002-03-11,0.012225969645868641
2009-07-31,0.02742165242165262
2019-01-29,0.010826511750726242
2010-08-12,-0.005597629239381008
2005-08-03,-0.0033704952035261693
2018-10-17,-0.005003950487226683
2015-07-29,0.006357856494096259
2013-05-28,0.01000540832882657
2015-11-02,-0.0006779661016949046
2006-03-21,0.0007336757153337814
2017-04-28,-0.006062355658198682
2007-01-25,-0.012165978709537284
2013-05-03,0.007644007644007411
2008-11-11,-0.058481421647819
2014-06-27,0.0016858668165213866
2006-05-19,-0.00023121387283231432
2015-04-17,-0.012669683257918618
2010-06-15,0.02227811713977723
2008-01-17,-0.008790072388831338
2019-07-17,-0.006380806533945904
2011-12-30,0.0012663571127056186
2010-11-26,-0.01687216093445809
2018-10-03,0.012751849018107551
2012-07-30,0.014492753623188468
2005-12-12,0.0060367454068239726
2014-10-24,0.004167824395665321
2008-06-17,-0.0036688832836504477
2008-02-15,-0.011321748288572908
2014-10-10,-0.009024252679075029
2006-09-18,0.00271862256456723
2013-07-08,0.0008372871895059307
2009-07-09,0.026884089907448283
2010-04-21,-0.01386202450032237
2007-07-06,0.009168443496801792
2009-01-15,-0.044073598630723236
2017-08-03,-0.0027985074626867283
2018-07-13,-0.002364625206904725
2017-09-15,-0.001213297743266284
2017-09-26,-0.0021739130434781373
2015-10-01,0.007790368271954674
2006-02-02,-0.006072874493927127
2003-06-19,-0.0159695817490495
2012-11-13,-0.0019157088122604413
2013-09-10,0.0016025641025640967
2015-12-01,0.018924302788844605
2018-10-23,-0.02342685916643961
2010-08-30,-0.011584327086882396
2009-06-25,-0.0029093931837074205
2002-06-12,0.004103405826836104
2014-05-29,-0.00217273221075498
2005-09-12,-0.004415584415584428
2010-07-08,0.009406657018813158
2015-05-28,-0.002553191489361839
2005-09-21,-0.002108036890645759
2013-12-10,-0.005952380952380931
2019-01-25,0.01088399256702943
2017-01-04,0.009600960096009636
2011-02-11,-0.0037922987164528132
2012-03-27,0.0007044734061290027
2015-06-16,-0.002031340684852001
2004-10-21,0.0002739726027396472
2012-02-09,0.0
2014-08-21,-0.002391073326248772
2016-04-25,-0.007993909402360111
2016-01-27,-0.002719502719502609
2010-05-11,-0.015172413793103525
2003-07-14,0.010911925175370207
2009-04-07,-0.03705664372683959
2010-06-11,-0.0007191657677094733
2006-09-05,0.0008950548221078324
2007-11-14,0.0008760402978538195
2004-12-09,-0.007733952049497228
2012-03-14,0.009206798866855605
2012-09-06,0.0273381294964028
2017-03-29,-0.004660646664724655
2015-07-17,0.0014988009592324936
